rank,time,records,disciplineName,fullName,participantCountryCode,year,time_seconds
32,0 days 00:04:09.410000,[0],Women 400 Freestyle,DUMONT Valentine,BEL,2020,249.41
33,0 days 00:04:09.540000,,Women 400 Freestyle,LI Jiaping,CHN,2020,249.54
34,0 days 00:04:09.600000,,Women 400 Freestyle,BOCEKLER Beril,TUR,2020,249.6
35,0 days 00:04:09.640000,,Women 400 Freestyle,KAPAS Boglarka,HUN,2020,249.64
36,0 days 00:04:09.730000,,Women 400 Freestyle,KAHLER Marlene,AUT,2020,249.73
37,0 days 00:04:09.750000,,Women 400 Freestyle,KIRPICHNIKOVA Anastasiia,RUS,2020,249.75
38,0 days 00:04:09.800000,,Women 400 Freestyle,KULLMANN Leonie Marlen,GER,2020,249.8
39,0 days 00:04:09.820000,,Women 400 Freestyle,EGOROVA Anna,RUS,2020,249.82
40,0 days 00:04:09.980000,,Women 400 Freestyle,SCHMITT Allison,USA,2020,249.98
41,0 days 00:04:10.200000,,Women 400 Freestyle,MA Yong,CHN,2020,250.2
42,0 days 00:04:10.210000,,Women 400 Freestyle,KOBORI Waka,JPN,2020,250.21
43,0 days 00:04:10.220000,,Women 400 Freestyle,NAMBA Miyu,JPN,2020,250.22
43,0 days 00:04:10.220000,,Women 400 Freestyle,MEITZ Kaersten,USA,2020,250.22
45,0 days 00:04:10.380000,,Women 400 Freestyle,WEYANT Emma,USA,2020,250.38
46,0 days 00:04:10.420000,,Women 400 Freestyle,MADDEN Paige,USA,2020,250.42
47,0 days 00:04:10.550000,,Women 400 Freestyle,PALLISTER Lani,AUS,2020,250.55
48,0 days 00:04:10.570000,,Women 400 Freestyle,MASUDA Aoi,JPN,2020,250.57
49,0 days 00:04:10.580000,,Women 400 Freestyle,SALAMATINA Valeriia,RUS,2020,250.58
50,0 days 00:04:10.630000,,Women 400 Freestyle,ROGERS Dahlas,AUS,2020,250.63
1,0 days 00:08:16.230000,,Women 800 Freestyle,LEDECKY Katie,USA,2020,496.23
2,0 days 00:08:20.960000,,Women 800 Freestyle,WANG Jianjiahe,CHN,2020,500.96
3,0 days 00:08:22.650000,[0],Women 800 Freestyle,KIRPICHNIKOVA Anastasiia,RUS,2020,502.65
4,0 days 00:08:23.460000,,Women 800 Freestyle,SMITH Leah,USA,2020,503.46
5,0 days 00:08:24.160000,,Women 800 Freestyle,CARAMIGNOLI Martina Rita,ITA,2020,504.16
6,0 days 00:08:24.710000,,Women 800 Freestyle,PALLISTER Lani,AUS,2020,504.71
7,0 days 00:08:26.810000,,Women 800 Freestyle,SALIN Giulia,ITA,2020,506.81
8,0 days 00:08:27.010000,,Women 800 Freestyle,SIMS Bella,USA,2020,507.01
9,0 days 00:08:27.680000,,Women 800 Freestyle,CARAMIGNOLI Martina Rita,ITA,2020,507.68
