year,disciplineName,time_seconds
2009,Men 200 Breaststroke,129.1906
2009,Men 200 Butterfly,115.2076
2009,Men 200 Freestyle,105.6582
2009,Men 200 Medley,118.2238
2009,Men 400 Freestyle,227.1234
2009,Men 400 Medley,255.0672
2009,Men 50 Freestyle,21.581599999999998
2009,Women 100 Backstroke,59.633
2009,Women 100 Breaststroke,66.76100000000001
2009,Women 100 Butterfly,57.5194
2009,Women 100 Freestyle,53.506
2009,Women 200 Backstroke,129.218
2009,Women 200 Breaststroke,143.8922
2009,Women 200 Butterfly,126.56119999999999
2009,Women 200 Freestyle,116.5754
2009,Women 200 Medley,130.9502
2009,Women 400 Freestyle,247.567
2009,Women 400 Medley,280.3856
2009,Women 50 Freestyle,24.611
2009,Women 800 Freestyle,509.4986
2010,Men 100 Backstroke,53.827200000000005
2010,Men 100 Breaststroke,60.4692
2010,Men 100 Butterfly,52.2408
2010,Men 100 Freestyle,48.601000000000006
2010,Men 1500 Freestyle,909.3592
2010,Men 200 Backstroke,117.8028
2010,Men 200 Breaststroke,131.37
2010,Men 200 Butterfly,116.40559999999999
2010,Men 200 Freestyle,107.0556
2010,Men 200 Medley,119.5126
2010,Men 400 Freestyle,228.6032
2010,Men 400 Medley,255.5032
2010,Men 50 Freestyle,22.014400000000002
2010,Women 100 Backstroke,60.1088
2010,Women 100 Breaststroke,67.45739999999999
2010,Women 100 Butterfly,58.251599999999996
2010,Women 100 Freestyle,54.3482
2010,Women 200 Backstroke,129.17860000000002
2010,Women 200 Breaststroke,145.6418
2010,Women 200 Butterfly,128.322
2010,Women 200 Freestyle,117.60799999999999
2010,Women 200 Medley,132.0426
2010,Women 400 Freestyle,248.06560000000002
2010,Women 400 Medley,280.3836
2010,Women 50 Freestyle,24.962600000000002
2010,Women 800 Freestyle,510.2212
2011,Men 100 Backstroke,53.342600000000004
2011,Men 100 Breaststroke,60.095600000000005
2011,Men 100 Butterfly,51.8926
2011,Men 100 Freestyle,48.319799999999994
2011,Men 1500 Freestyle,899.8252
2011,Men 200 Backstroke,116.5342
2011,Men 200 Breaststroke,130.3308
2011,Men 200 Butterfly,115.4454
